2018-04-23 23:55:19 - Begin Training............
2018-04-24 00:02:29 -   34 - over - loss: 1.2303, acc: 80.77 | val_loss: 2.4726, val_acc: 37.34, MPCE:0.6284 | best_acc: 37.34, best_mpce:0.6146
2018-04-24 00:02:41 -   35 - over - loss: 1.2643, acc: 78.72 | val_loss: 6.4355, val_acc: 5.63, MPCE:0.9304 | best_acc: 37.34, best_mpce:0.6146
2018-04-24 00:02:53 -   36 - over - loss: 1.2710, acc: 80.51 | val_loss: 3.5800, val_acc: 23.53, MPCE:0.7381 | best_acc: 37.34, best_mpce:0.6146
2018-04-24 00:03:05 -   37 - over - loss: 1.2311, acc: 80.26 | val_loss: 3.3087, val_acc: 25.06, MPCE:0.7165 | best_acc: 37.34, best_mpce:0.6146
2018-04-24 00:03:17 -   38 - over - loss: 1.2299, acc: 81.54 | val_loss: 2.4616, val_acc: 42.97, MPCE:0.5856 | best_acc: 42.97, best_mpce:0.5856
2018-04-24 00:03:29 -   39 - over - loss: 1.2339, acc: 81.03 | val_loss: 2.4312, val_acc: 47.57, MPCE:0.5192 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:03:41 -   40 - over - loss: 1.1730, acc: 82.05 | val_loss: 3.5312, val_acc: 24.30, MPCE:0.7367 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:03:53 -   41 - over - loss: 1.1828, acc: 82.56 | val_loss: 2.6237, val_acc: 37.08, MPCE:0.6052 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:04:05 -   42 - over - loss: 1.1456, acc: 82.31 | val_loss: 2.7579, val_acc: 38.87, MPCE:0.6101 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:04:17 -   43 - over - loss: 1.2913, acc: 79.23 | val_loss: 2.6961, val_acc: 34.02, MPCE:0.6250 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:04:29 -   44 - over - loss: 1.1806, acc: 82.82 | val_loss: 3.4432, val_acc: 19.44, MPCE:0.8071 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:04:41 -   45 - over - loss: 1.1146, acc: 84.10 | val_loss: 2.4728, val_acc: 37.34, MPCE:0.6182 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:04:53 -   46 - over - loss: 1.1298, acc: 82.56 | val_loss: 2.7079, val_acc: 37.85, MPCE:0.6094 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:05:05 -   47 - over - loss: 1.0840, acc: 84.62 | val_loss: 4.0922, val_acc: 24.81, MPCE:0.7345 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:05:17 -   48 - over - loss: 1.1682, acc: 81.79 | val_loss: 3.9601, val_acc: 26.85, MPCE:0.7316 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:05:29 -   49 - over - loss: 1.1494, acc: 83.59 | val_loss: 2.7265, val_acc: 36.06, MPCE:0.6572 | best_acc: 47.57, best_mpce:0.5192
2018-04-24 00:05:41 -   50 - over - loss: 1.0343, acc: 86.92 | val_loss: 1.9850, val_acc: 52.43, MPCE:0.4876 | best_acc: 52.43, best_mpce:0.4876
2018-04-24 00:05:53 -   51 - over - loss: 1.0033, acc: 84.87 | val_loss: 3.2603, val_acc: 37.60, MPCE:0.6416 | best_acc: 52.43, best_mpce:0.4876
2018-04-24 00:06:05 -   52 - over - loss: 1.0246, acc: 85.90 | val_loss: 2.5085, val_acc: 44.25, MPCE:0.5642 | best_acc: 52.43, best_mpce:0.4876
2018-04-24 00:06:17 -   53 - over - loss: 1.0374, acc: 85.64 | val_loss: 3.0769, val_acc: 32.23, MPCE:0.6815 | best_acc: 52.43, best_mpce:0.4876
2018-04-24 00:06:29 -   54 - over - loss: 1.0392, acc: 84.36 | val_loss: 3.3287, val_acc: 32.23, MPCE:0.6680 | best_acc: 52.43, best_mpce:0.4876
2018-04-24 00:06:41 -   55 - over - loss: 1.0329, acc: 85.90 | val_loss: 3.1854, val_acc: 36.57, MPCE:0.6270 | best_acc: 52.43, best_mpce:0.4876
2018-04-24 00:06:53 -   56 - over - loss: 1.0426, acc: 86.92 | val_loss: 2.0981, val_acc: 49.62, MPCE:0.4797 | best_acc: 52.43, best_mpce:0.4797
2018-04-24 00:07:05 -   57 - over - loss: 0.9866, acc: 87.44 | val_loss: 2.1587, val_acc: 54.22, MPCE:0.4635 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:07:17 -   58 - over - loss: 0.9990, acc: 86.67 | val_loss: 4.3140, val_acc: 13.55, MPCE:0.8405 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:07:29 -   59 - over - loss: 1.0064, acc: 84.87 | val_loss: 8.2285, val_acc: 7.42, MPCE:0.9060 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:07:41 -   60 - over - loss: 1.0198, acc: 85.90 | val_loss: 3.3277, val_acc: 30.95, MPCE:0.6833 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:07:53 -   61 - over - loss: 0.9893, acc: 87.69 | val_loss: 1.9617, val_acc: 48.85, MPCE:0.5089 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:08:05 -   62 - over - loss: 0.9816, acc: 88.72 | val_loss: 2.1341, val_acc: 49.36, MPCE:0.5109 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:08:17 -   63 - over - loss: 0.9616, acc: 87.69 | val_loss: 3.1988, val_acc: 36.57, MPCE:0.6186 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:08:29 -   64 - over - loss: 1.0173, acc: 85.38 | val_loss: 3.8712, val_acc: 32.74, MPCE:0.6386 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:08:41 -   65 - over - loss: 1.0001, acc: 86.92 | val_loss: 3.1255, val_acc: 39.39, MPCE:0.5746 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:08:53 -   66 - over - loss: 0.9716, acc: 87.18 | val_loss: 3.0416, val_acc: 38.36, MPCE:0.5858 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:09:05 -   67 - over - loss: 0.9683, acc: 85.90 | val_loss: 3.9766, val_acc: 24.30, MPCE:0.7677 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:09:17 -   68 - over - loss: 0.9569, acc: 85.64 | val_loss: 3.8966, val_acc: 17.39, MPCE:0.7975 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:09:29 -   69 - over - loss: 0.9585, acc: 88.46 | val_loss: 2.0753, val_acc: 47.31, MPCE:0.5103 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:09:41 -   70 - over - loss: 0.9613, acc: 87.18 | val_loss: 4.5270, val_acc: 25.32, MPCE:0.7559 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:09:53 -   71 - over - loss: 0.9699, acc: 87.95 | val_loss: 4.9108, val_acc: 23.02, MPCE:0.7866 | best_acc: 54.22, best_mpce:0.4635
